Date	Consumption
2015-01-01	1250.5
2015-02-01	1180.3
2015-03-01	1050.2
2015-04-01	980.4
2015-05-01	920.6
2015-06-01	1100.8
2015-07-01	1350.2
2015-08-01	1420.5
2015-09-01	1200.3
2015-10-01	1050.7
2015-11-01	1150.4
2015-12-01	1280.9
2016-01-01	1290.3
2016-02-01	1220.5
2016-03-01	1080.4
2016-04-01	1010.2
2016-05-01	950.8
2016-06-01	1130.5
2016-07-01	1380.7
2016-08-01	1450.3
2016-09-01	1230.6
2016-10-01	1080.9
2016-11-01	1180.2
2016-12-01	1310.4
2017-01-01	1330.8
2017-02-01	1260.2
2017-03-01	1110.5
2017-04-01	1040.3
2017-05-01	980.5
2017-06-01	1160.8
2017-07-01	1410.9
2017-08-01	1480.6
2017-09-01	1260.8
2017-10-01	1110.4
2017-11-01	1210.6
2017-12-01	1340.2
2018-01-01	1370.5
2018-02-01	1300.8
2018-03-01	1140.6
2018-04-01	1070.5
2018-05-01	1010.3
2018-06-01	1190.7
2018-07-01	1440.5
2018-08-01	1510.8
2018-09-01	1290.4
2018-10-01	1140.2
2018-11-01	1240.8
2018-12-01	1370.6
2019-01-01	1410.3
2019-02-01	1340.5
2019-03-01	1170.8
2019-04-01	1100.6
2019-05-01	1040.7
2019-06-01	1220.9
2019-07-01	1470.3
2019-08-01	1540.5
2019-09-01	1320.6
2019-10-01	1170.5
2019-11-01	1270.4
2019-12-01	1400.8
2020-01-01	1450.6
2020-02-01	1380.4
2020-03-01	1200.5
2020-04-01	1130.8
2020-05-01	1070.9
2020-06-01	1250.3
2020-07-01	1500.6
2020-08-01	1570.4
2020-09-01	1350.7
2020-10-01	1200.3
2020-11-01	1300.5
2020-12-01	1430.9
2021-01-01	1490.8
2021-02-01	1420.6
2021-03-01	1230.7
2021-04-01	1160.4
2021-05-01	1100.5
2021-06-01	1280.6
2021-07-01	1530.8
2021-08-01	1600.5
2021-09-01	1380.9
2021-10-01	1230.6
2021-11-01	1330.7
2021-12-01	1460.4
2022-01-01	1530.5
2022-02-01	1460.8
2022-03-01	1260.9
2022-04-01	1190.6
2022-05-01	1130.8
2022-06-01	1310.7
2022-07-01	1560.9
2022-08-01	1630.6
2022-09-01	1410.8
2022-10-01	1260.5
2022-11-01	1360.9
2022-12-01	1490.6
2023-01-01	1570.7
2023-02-01	1500.9
2023-03-01	1290.8
2023-04-01	1220.7
2023-05-01	1160.9
2023-06-01	1340.8
2023-07-01	1590.5
2023-08-01	1660.7
2023-09-01	1440.6
2023-10-01	1290.8
2023-11-01	1390.5
2023-12-01	1520.8
2024-01-01	1610.9
2024-02-01	1540.7
2024-03-01	1320.6
2024-04-01	1250.8
2024-05-01	1190.7
2024-06-01	1370.9
2024-07-01	1620.8
2024-08-01	1690.5
2024-09-01	1470.7
2024-10-01	1320.9
2024-11-01	1420.6
2024-12-01	1550.9
